メニュー名,分量,カロリー,塩分,調理時間,画像URL,材料,作り方,URL
白身魚のソテークリームソース,4人分,約415kcal,1.2g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1519.jpg,"白身魚: 4切れ(280g)
塩: 少々
こしょう: 少々
薄力粉: 適量
バター: 10g
サラダ油: 大さじ1
さやえんどう: 12枚
えんどう豆(むき実): 20粒
そら豆(むき実): 8粒
にんじん: 1/2本
セロリ: 1本
バター: 5g
エシャロット: 1個
白ワイン: 100mL
生クリーム: 100mL","1 水タンクに水を入れる。(水位1以上)
2 白身魚は塩、こしょうをして薄力粉をまぶしておく。
3 さやえんどうは筋をとってせん切りにする。にんじん、セロリは7cm長さのせん切りにする。
4 アルミホイルを広げ、3、えんどう豆、そら豆、バターをのせ、塩、こしょうをしてからアルミホイルで包む。
5 角皿にクッキングシートを敷き、中央寄りに2を並べ、空いたスペースに4を並べ、上段に入れる。
まかせて調理 焼く → スタート
6 [A]クリームソースを作る。鍋にバターとエシャロットのみじん切りを入れ焦がさないように炒め、白ワインを入れて1/3量まで煮詰め、生クリームを加えて煮立てる。塩、こしょうで味をととのえる。
7 あたためた皿に6のソースを敷き、5の白身魚を盛り野菜をのせる。
レシピ提供：ボブとアンジー　監修：料理家　菊池　令子",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1519
白身魚のバルサミコソース,4人分,約216kcal,0.8g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1363.jpg,"鯛: 4切れ(280g)
白ネギ: 2本分(150g)
にんじん: 30g
オリーブ油: 大さじ1
塩: 適量
こしょう: 適量
チキンブイヨン: 80mL
バルサミコ酢: 大さじ4
ハチミツ: 大さじ2
チャービル(セルフィーユ): 適量","1 水タンクに水を入れる。(水位1以上)
2 鯛は塩、こしょうし、全体にサラダ油を薄くからめる。(鯛４切れでサラダ油大さじ１(分量外)程度が目安)
3 白ねぎは2～3mm幅の薄切りにし、にんじんはせん切りにする。オリーブ油と塩をしっかりとからめてアルミで包む。
4 ソースの材料は金属製の容器に合わせておく。
5 角皿にクッキングシートを敷き中央に2の鯛を並べる。端にアルミで包んだ野菜を並べ、空いてるところに金属製のボウルに入れたソースも並べ、角皿を上段に入れる。

まかせて調理 焼く → スタート
6 加熱後、野菜を器にもり、その上に鯛を盛る。5をかけて、チャービルで飾る。
レシピ提供：ボブとアンジー　監修：料理研究家　石川　定子",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1363
白身魚のパン粉焼き,4人分,約106kcal,0.2g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1060.jpg,"白身魚: 4切れ(1切れ100g)
パン粉: 大さじ4
粉チーズ: 大さじ2","1 水タンクに水を入れる。(水位1以上)
2 角皿にクッキングシートを敷き、混ぜ合せた[A]をのせた魚を中央寄りにのせる。
※[A]に乾燥パセリを混ぜてもよいでしょう。
3 2を上段に入れる。
まかせて調理 焼く → スタート
＜まかせて調理について＞
お好きな材料に変更しても、レシピと異なる分量でも、冷凍のままでも加熱できます。
※食材の種類や形状などによって仕上がりが変わります。食材の総重量は1kgまでを目安にしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1060
白身魚のパン粉焼き＆にんじんのきんぴら,4人分,約152kcal,1.1g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1904.jpg,"白身魚: 4切れ(1切れ100g)
パン粉: 大さじ4
粉チーズ: 大さじ2
にんじん: 1本(200g)
しょうゆ: 小さじ4
みりん: 小さじ4
ごま油: 小さじ1
ごま: 適量","1 水タンクに水を入れる。(水位1以上)
2 下記単品の作りかたを参照し、角皿を上段に入れる。
まかせて調理 焼く → スタート
白身魚のパン粉焼き
1 角皿にクッキングシートを敷き、混ぜ合せた[A]をのせた魚を中央寄りにのせる。
※[A]に乾燥パセリを混ぜてもよいでしょう。
にんじんのきんぴら
1 にんじんは皮をむかずに、ピーラーで薄くスライスする。
2 アルミホイルを2枚広げ、1をのせて、[A]まわしかけ、包み、角皿の両端にのせる。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1904
白身魚のパン粉焼き＆焼きオクラのおひたし,4人分,約125kcal,1.4g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1897.jpg,"白身魚: 4切れ(1切れ100g)
パン粉: 大さじ4
粉チーズ: 大さじ2
オクラ: 20本
ポン酢しょうゆ、かつお節: 各適量","1 水タンクに水を入れる。(水位1以上)
2 下記単品の作りかたを参照し、角皿を上段に入れる。
まかせて調理 焼く → スタート
白身魚のパン粉焼き
1 角皿にクッキングシートを敷き、混ぜ合せた[A]をのせた魚を中央寄りにのせる。
※[A]に乾燥パセリを混ぜてもよいでしょう。
焼きオクラのおひたし
1 オクラは縦に切りこみを入れ、アルミホイルに重ならないように包む。
2 角皿の両端に1をのせる。
3 加熱後、[A]をかける。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1897
白身魚のブロッコリーあんかけ,4人分,約192kcal,1.3g,17分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1489.jpg,"いとより: 中2尾
しょうが: 10g
長ねぎ: 10g
鶏がらスープ: 大さじ1
酒: 大さじ2
塩: 少々
ブロッコリー: 80g
にんじん: 20g
干ししいたけ: 2枚
たけのこ(ゆで): 20g
卵: 1・1/2個分
ごま油(仕上げ用): 小さじ2
蒸し汁: 適量
鶏がらスープ: 適量
塩: 少々
水溶き片栗粉: 大さじ3～4
サラダ油(炒め用): 適量","1 水タンクに水を入れる。(水位2)
2 いとよりはうろこ、内臓を取り、身の部分に包丁で切り込みを入れ、底の平らな皿にのせて、しょうが、長ねぎのせん切りをのせ、鶏がらスープ、酒、塩をふる。
3 角皿に2を載せる。
4 角皿を上段に入れる。
手動調理 → 蒸し物 → 約17分 → スタート
5 ブロッコリーは小さく切り分け、茎はせん切りにする。
6 にんじん、戻した干ししいたけ、たけのこもせん切りにする。
7 サラダ油を熱し、5、6を炒め、[A]を加えて塩で調味し、水溶き片栗粉でとろみを付ける。
8 7に溶き卵を加えてサッと煮てブロッコリーあんを作る。
9 2の魚に8をかける。仕上げにごま油を少々かける。
レシピ提供：ボブとアンジー　監修：料理研究家　木村　通子",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1489
白身魚のマヨネーズ風味グラタン,4人分,約392kcal,1.1g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1516.jpg,"白身魚: 4切れ(280g)
ほうれん草: 1束
塩: 少々
こしょう: 少々
サラダ油: 大さじ2
白ワイン: 大さじ2
マヨネーズ: 大さじ6
生クリーム: 大さじ4
こしょう: 少々
パプリカパウダー: 少々","1 水タンクに水を入れる。(水位1以上)
2 白身魚は塩、こしょうをし、しばらくおいて、水気をふき取る。
3 フライパンにサラダ油を熱し、2を焼き、白ワインを加え、アルコール分をとばす。
4 ほうれん草は塩ゆでして、4～5cmの長さに切る。
5 [A]のマヨネーズに生クリームを合わせ、こしょうをふり、マヨネーズソースを作る。
6 耐熱性容器に4のほうれん草を広げ、3の白身魚を並べて、5のマヨネーズソースをかけ、パプリカパウダーをふる。
7 6を角皿にのせ、上段に入れる。
まかせて調理 焼く → スタート → 弱め(※30秒以内に押す)
レシピ提供：ボブとアンジー　監修：料理家　菊池　令子",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1516
白身魚のムニエル,4人分,約226kcal,0.5g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1548.jpg,"白身魚: 4切れ(1切れ80g)
塩: 少々
こしょう: 少々
薄力粉: 適量
バター: 20g
オリーブオイル: 大さじ1と1/2
レモン: 1/2個分
パセリ: 適量","1 水タンクに水を入れる。(水位1以上)
2 魚は塩、こしょうをしてしばらくおき、焼く直前に薄力粉をまぶし、余分な薄力粉は落とす。
3 角皿にクッキングシートを敷き、中央に2を並べ、オリーブオイルを回しかけ、両面にからめたら上にバターをのせる。角皿を上段に入れる。
まかせて調理 焼く → スタート
4 器に盛り、くし形切りのレモンとパセリを添える。
レシピ提供：ボブとアンジー　監修：料理研究家　石川　定子",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1548
白身魚の野菜たっぷり甘酢あんかけ,4人分,約251kcal,1.5g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1360.jpg,"白身魚: 4切れ(240g)
酒: 小さじ1
塩: 少々
にんじん: 30g
玉ねぎ: 1/4個
干ししいたけ: 3枚
ピーマン: 1個
薄力粉: 適量
チキンブイヨン: 100mL
砂糖: 大さじ1と1/2
酢: 大さじ1と1/2
トマトケチャップ: 大さじ1
しょうゆ: 小さじ1
片栗粉: 大さじ1/2
塩: 少々","1 水タンクに水を入れる。(水位1以上)
2 白身魚は酒、塩をふり、しばらくおいた後、キッチンペーパーで水気をふく。
3 干ししいたけはぬるま湯につけて戻し、野菜は全て7～8mm角に切る。
4 角皿にクッキングシートを敷き、2に薄力粉を薄くまぶし、サラダ油をからめ、のせる。あいているクッキングシートの上に3を広げてのせる。[A]は金属製バットに入れて混ぜ合わせ、角皿にのせる。角皿を上段に入れる。

まかせて調理 炒める → スタート
5 加熱後、[A]に野菜を合わせる。
6 お皿に4の魚を盛り付け、5をかける。
レシピ提供：ボブとアンジー　監修：料理研究家　石川　定子",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1360
白身魚の野菜蒸し(レンジメニュー),4人分,約162kcal,0.9g,5分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R2193.jpg,"白身魚: 4切れ(1切れ80g)
塩: 少々
酒: 少々
長いも(細切り): 100g
にんじん(細切り): 30g
塩昆布(細切り): 10g","1 白身魚は半分に切って､塩､酒をふってしばらくおく。
2 底の平らな耐熱容器に1を並べて[A]をのせ、ラップをして、庫内中央に置く。(角皿は入れません)
レンジ → 600W・5分～5分30秒 → スタート
※調理中に魚がはじける音がする場合があります。
≪ポイント≫
・食品は表面が平らになるように入れます。
・食品の湿度、分量、容器などによって、加熱時間は目安時間とは異なることがあります。
・加熱が足りないときは延長またはレンジ600Wで様子を見ながら加熱を追加してください。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R2193
白身魚のゆずみそ焼き,4人分,約195kcal,0.6g,11分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0302.jpg,"白身魚(たい、さわらなど): 上身1枚(350g)
塩: 適量
白みそ: 30g
砂糖: 大さじ1
ゆずの絞り汁: 大さじ1/2
はじかみしょうが: 適量","1 白身魚に塩をふってしばらくおく。
2 1を3cm幅に切り、表面に数本の切り込みを入れる。
3 角皿の中央に油をぬった調理網1枚をのせ、2を並べて切り込みに混ぜ合わせた[A]を等分にぬる。
4 3を上段に入れる。
お料理選択 → メニュー検索 → カテゴリーから探す → あぶり焼き・焼き物・ノンフライ → さわらのみそ漬け → 分量選択 → スタート
手動でするときは：下段に入れ、グリル・予熱なしで15～17分(2人分は14～16分)※自動加熱とは棚位置が異なります
5 加熱後、はじかみしょうがを添える。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0302
白身魚のれんこん蒸し,2人分,約200kcal,1.1g,10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0905.jpg,"白身魚: 2切れ(1切れ80g)
塩: 少々
酒: 小さじ1
れんこん: 100g
卵白: 1/2個分
塩: 少々
みりん: 大さじ1/4
だし: 75mL
塩、しょうゆ: 各少々
片栗粉: 小さじ1","1 水タンクに水を入れる。(水位2)
2 白身魚はそれぞれ3等分のそぎ切りにし、塩、酒をふってしばらくおく。
3 れんこんはすりおろし、[A]と混ぜ合わせる。
4 器に白身魚をかさならないように3切れずつ並べ、3を等分にのせる。
5 4を角皿の中央に置き、上段に入れる。

※液晶画面には、調理網が表示されますが、このメニューでは使いません。
お料理選択 → ヘルシオおすすめ → 8～10分　100メニュー → パパッと10分 → 蒸し → スタート
手動でするときは：蒸し物で約8～10分
6 加熱後、[B]を煮詰めたあんをかける。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0905
白身魚のローストソース添え,4人分,約498kcal,0.4g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1532.jpg,"白身魚: 4切れ(280g)
塩: 適量
こしょう: 適量
バジル(生): 6枚
タイム: 1本
オリーブオイル: 50mL
ブロッコリー: 1株
ミニトマト: 8個
パン粉: 大さじ2
パセリ(みじん切り): 小さじ2
オリーブオイル: 大さじ2
塩: 少々
エシャロット(みじん切り): 1/2個
白ワイン: 60mL
ブイヨン: 40mL
バター(無塩): 40g
レモン果汁: 大さじ1/2
塩: 小さじ1/8
黒こしょう: 少々","1 水タンクに水を入れる。(水位1以上)
2 白身魚は厚み半分に切り込みを入れ、塩、こしょうをする。
3 バジルはせん切りにし、タイムは葉をちぎる。白身魚にバジルとタイムをはさむ。
4 ブロッコリーは大きめの小房に分け、ミニトマトはヘタを取る。アルミホイルで2つ型をつくり、それぞれ中に入れ、混ぜ合わせた[A]を散らす。
5 角皿の中央にクッキングシートを敷き、3をのせ、上からオリーブオイルをかける。左右の空いたスペースに4をのせる。角皿を上段に入れる。

まかせて調理 焼く → スタート → 弱め(※30秒以内に押す)
6 レモンバターソースを作る。エシャロット、白ワイン、ブイヨンを鍋に入れ、約2/3量になるまで煮詰める。冷たいバターを少しずつ加え、弱火でゆっくり溶かし、塩、こしょう、レモン果汁で味をととのえる。
7 白身魚を器に盛り、6のソースをかけ、5のブロッコリーとトマトを添える。
レシピ提供：ボブとアンジー　監修：料理家　水野　恵",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1532
新じゃがとそら豆のサラダ,,約413kcal(全量),0.0g,19分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R2453.jpg,"新じゃがいも: 300g
そら豆(さや付き）: 300g
オリーブオイル: 大さじ1
塩: 適量","1 水タンクに水を入れる。(水位1以上)
2 新じゃがいもは、皮をよく洗って皮ごと厚さ1cmのいちょう切りにし、オリーブオイルをまぶす。
3 角皿の片側にアルミホイルを敷いて2を並べ、空いているスペースにそら豆をさや付きのまま並べる。
4 3を上段に入れる。
まかせて調理 焼く → スタート → 弱め(※30秒以内に押す)
5 加熱後、そら豆はさやから取り出し、盛り付けて塩をふる。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R2453
新玉ねぎのオーブン焼き,,約357kcal(全量),5.0g,28分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R2455.jpg,"新玉ねぎ: 4個(1個200g）
塩: 小さじ1/2
カレー粉: 小さじ1/4
塩: 小さじ1/3
こしょう: 適量
バター: 10g","1 水タンクに水を入れる。(水位1以上)
2 新玉ねぎは、下2cmほど残して十字の切りこみを入れる。
3 角皿にクッキングシートを2枚敷いて少しフチを立て、新玉ねぎをのせ、切りこみを少し開く。
＜カレー風味＞
混ぜ合わせた塩とカレー粉をふり入れる。
＜バター風味＞
塩こしょうをふり入れ、バターをのせる。
4 3を下段に入れる。
手動調理 → ウォーターオーブン → 予熱なし・1段 → 180℃・約28分 → スタート
5 加熱後、皿に盛り、クッキングシートに残った焼き汁をかける。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R2455
シーチキンチャンプルー,2人分,約249kcal,2.3g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R2485.jpg,"はごろもフーズ　シーチキンSmile Ｌフレーク: 1袋(50g)
キャベツ: 200g
玉ねぎ: 1/2個(100g)
しめじ: 100g
赤パプリカ: 30g
もめん豆腐: 1/2丁(150g)
溶き卵: Ｍ1個分
サラダ油: 大さじ1
塩: 小さじ1/2
こしょう: 少々
しょうゆ: 適量","1 水タンクに水を入れる。(水位1以上)
2 キャベツはざく切りに、玉ねぎは薄切りにする。赤パプリカは1cm幅に切る。しめじは石づきを取り小房に分ける。もめん豆腐は水切りして、食べやすい大きさに切る。
3 角皿にクッキングシートを敷き、2、シーチキンをのせ、[A]を全体に回しかける。
※クッキングシートの端を少し折り曲げて皿のようにすると、卵が流れ出ません。
4 3を上段に入れる。
まかせて調理 炒める → スタート
5 加熱後、全体を混ぜ合わせ、器に盛る。

★このレシピは「うちれぴ」とのコラボレーションによる、はごろもフーズ株式会社ご提供レシピです。
はごろもフーズからのおすすめポイント
シーチキン、卵、豆腐とたんぱく質がたっぷり摂れるお料理になっています。

「シーチキンSmile Ｌフレーク」について、詳しくは画像をタップしてください。



は、はごろもフーズ株式会社の登録商標です。

「うちれぴ」連携について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R2485
シーチキンとグリル野菜,2人分,約467kcal,0.9g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R2486.jpg,"はごろもフーズ　シーチキンＬ: 1缶(140g)
じゃがいも: 1個(150g)
玉ねぎ: 1個(200g)
赤・黄パプリカ: 各1/2個(各80g)
ズッキーニ: 1/2本(75g)
にんじん: 1/2本(100g)
おろしにんにく(チューブ入り）: 2cm程度
塩、こしょう、バジル: 各適量
オリーブオイル: 大さじ3","1 水タンクに水を入れる。(水位1以上)
2 じゃがいもは皮をむいて8等分のくし切りにし、玉ねぎは8等分のくし切りに、パプリカは1cm幅に切る。ズッキーニ、にんじんは5㎜程度の輪切りにする。
3 耐熱容器にシーチキンの油、おろしにんにくを入れて混ぜ、2、シーチキンを彩りよく並べる。
4 3に塩、こしょう、バジルをふりかけ、オリーブオイルをまわしかける。
5 4を角皿にのせ、上段に入れる。
まかせて調理 焼く → スタート
※加熱後、野菜が固い場合は延長で加熱を追加してください。

★このレシピは「うちれぴ」とのコラボレーションによる、はごろもフーズ株式会社ご提供レシピです。
はごろもフーズからのおすすめポイント
野菜がたくさん摂れるオーブン料理です。
野菜は家にあるお好みのものを使っても、おいしく作ることができます。

「シーチキンＬ」について、詳しくは画像をタップしてください。



は、はごろもフーズ株式会社の登録商標です。

「うちれぴ」連携について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R2486
シーフードカレー,2人分,約208kcal,2.9g,13分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R2235.jpg,"玉ねぎ: 1/2個(100g)
なす: 1/2本(50g)
マッシュルーム: 50g
冷凍シーフードミックス: 1/2袋(150g)
水: 150mL
白ワイン: 大さじ1/2
おろしにんにく: 小さじ1/2
おろししょうが: 小さじ1
市販のカレールウ: 2～3皿分","1 シーフードミックスは解凍し、バラバラになったら水気をきる。マッシュルームは4等分、玉ねぎはみじん切りにし、なすは1cm幅のいちょう切りにする。
2 耐熱容器に野菜の1/3量→シーフードミックス→残りの野菜→残りの材料の順に表面が平らになるように入れる。カレールウは中央をあけてのせる。
3 ふんわりとラップをして、庫内中央に置く(角皿は入れません)。
お料理選択 → らくチン１品 → らくチン！カレー → スタート
4 加熱後、ルウを溶かしながら全体をしっかり混ぜ合わせます。
らくチン！カレーのポイント
・ボウルは「レンジ加熱可」の耐熱性の容器をご使用ください。材料が入る大きさであれば、どんな大きさのものでも使えます。
・材料は、2人分を記載しています。半量や倍量にして、1～4人分まで自動で調理することができます。
・ルウの種類や野菜の水分量でとろみが変わります。
詳しくは、《コチラ！》",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R2235
シーフードサラダ,4人分,約110kcal,1.3g,12分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0599.jpg,"するめいか: 1杯(250g)
ゆでだこ: 100g
酒: 大さじ1
トマト(くし切り): 大1個(200g)
きゅうり(乱切り): 1本
玉ねぎ(薄切り): 1/4個(50g)
オリーブ: 12粒
白ワイン、酢: 各大さじ2
粒マスタード: 小さじ1
レモン汁: 小さじ1/2
塩: 小さじ1/3
こしょう: 少々
赤とうがらし(種を取り、輪切り): 1本
にんにく(薄切り): 1かけ
ベビーリーフ、レモン(薄切り): 各適量","1 水タンクに水を入れる。(水位2)
2 いかは内臓を抜いて水洗いする。足は1本ずつ切り分け、胴体は7～8mm幅の輪切りにする。たこは、ひと口大に切る。
3 底の平らな浅い耐熱容器に2を入れ、酒をふり入れる。
角皿に3をのせ、上段に入れる。
手動調理 → 低温調理 → ソフト蒸し(低温スチーム) → 75℃・約12分(2人分は約11分) →スタート
5 加熱後、粗熱を取って汁気をきり、[A]を加えてあえる。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0599
シーフードサラダ(まかせて調理),4人分,,,13分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1088.jpg,"キャベツ: 約200g
冷凍シーフード: 約250g","1 水タンクに水を入れる。(水位2)
2 角皿に調理網2枚をのせ、キャベツ、冷凍シーフードを金属製のザルに入れ、並べる。
3 2を上段に入れる。

※写真の付属品は、実際のものとは異なります。
まかせて調理 蒸す・ゆでる → スタート
＜まかせて調理について＞
お好きな材料に変更しても、レシピと異なる分量でも、冷凍のままでも加熱できます。
※食材の種類や形状などによって仕上がりが変わります。食材の総重量は1kgまでを目安にしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1088
シーフードのチリソースあえ,2人分,約141kcal,1.7g,8分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0764.jpg,"冷凍シーフードミックス: 250g
しめじ: 50g
ケチャップ: 大さじ2
スイートチリソース: 大さじ1
鶏がらスープの素: 小さじ1/2
片栗粉: 小さじ1","1 水タンクに水を入れる。(水位1以上)
2 調理網2枚を2段に重ねて角皿の中央にのせる。
3 冷凍シーフードは解凍してキッチンペーパーで水気をふく。しめじは石づきを取ってほぐす。
4 ボウルに3、[A]を入れて混ぜる。
5 アルミホイルで調理網の大きさに合わせて形を作り、4を広げて入れる。
6 5を上段に入れる。

※写真の付属品は、実際のものとは異なります。
お料理選択 → ヘルシオおすすめ → 8～10分　100メニュー → サッと8分 → 焼き → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0764
じゃがいものあえ物,4人分,約124kcal,0.5g,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1196.jpg,"じゃがいも: 4個(1個150g)
しょうゆ: 小さじ2
バター: 10g
青じそ(細切り): 4枚","1 水タンクに水を入れる。(水位1以上)
2 じゃがいもは皮をむき、1個を8等分する。
3 角皿に調理網2枚をのせ、じゃがいもを並べる。
4 3を上段に入れる。
まかせて調理 網焼き・揚げる → スタート
5 加熱後、[A]であえて青じそを散らす。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1196
じゃがいもの重ね焼き,4人分,116kcal,0.6g,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0059.jpg,"じゃがいも: 2個(300g)
コンビーフ: 1/2缶(50g)
にんにく: 1かけ
ピザ用チーズ: 40g
塩、こしょう: 各少々
パセリ: 適量","1 水タンクに水を入れる。(水位1以上)
2 じゃがいもは皮をむき厚さ5mmに切る。にんにくは粗みじん切りにしておく。
3 底の平らな耐熱容器にじゃがいもの半量を敷き、じゃがいもの上にコンビーフの半量をのせ、またその上にじゃがいも、コンビーフの順にのせる。
4 3ににんにくを散らして塩、こしょう、ピザ用チーズを散らす。
5 角皿に4をのせて上段に入れる。

探す → メニュー番号 → No.0059 → 決定 >>> スタート
6 加熱後、刻んだパセリを散らす。
このメニューは「まかせて調理(焼く)」で加熱できるメニューのひとつです
詳しくは、まかせて調理(焼く)をご覧ください。
加熱終了後もあたたかさをキープする「ほかほかキープ」が使えます",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0059
じゃがいものガレット風,2人分,約130kcal,0.7g,8分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0888.jpg,"じゃがいも: 1個(150g)
ベーコン: 1枚
キムチ: 30g
青ねぎ(小口切り): 3本
ピザ用チーズ: 適量","1 水タンクに水を入れる。(水位1以上)
2 調理網2枚を2段に重ねて角皿の中央にのせる。
3 じゃがいもとベーコンはせん切りにする。キムチは細かく刻む。
4 ボウルに3、青ねぎを入れて混ぜる。
5 クッキングシートを敷いた調理網に4を6等分して丸く広げて並べ、軽くおさえる。上からピザ用チーズをのせ、上段に入れる。

※写真の付属品は、実際のものとは異なります。
お料理選択 → ヘルシオおすすめ → 8～10分　100メニュー → サッと8分 → 焼き → スタート → 弱め(※30秒以内に押す)",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0888
じゃがいものトマトソース重ね焼きハンバーグ,4人分,約102kcal,0.9g,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R1423.jpg,"ミニハンバーグ(冷凍): 4個
じゃがいも: 8枚(5～6mm厚)
トマトソース(市販): 大さじ4
塩: 少々
こしょう: 少々","1 水タンクに水を入れる。(水位1以上)
2 ハンバーグとじゃがいもはそれぞれレンジで加熱し、ハンバーグは2枚にスライスし、じゃがいもには軽く塩、こしょうをする。
3 アルミケースにハンバーグとじゃがいもを交互に並べ、上からトマトソースをかける。
4 角皿に3を並べる。角皿を下段に入れる。
手動調理 → グリル・予熱なし → 約15分 → スタート
レシピ提供：ボブとアンジー　監修：料理研究家　石井　美音",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R1423
じゃがいもの薬味あえ,4人分,約69kcal,0.7g,22分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R0117.jpg,"じゃがいも: 2個(300g)
しょうゆ、みりん: 各大さじ1
水: 小さじ1
白ねぎ(みじん切り): 大さじ3
かつお節: 1袋(2.5g)
青ねぎ(小口切り): 適量","1 水タンクに水を入れる。(水位2)
2 じゃがいもは皮をむき、それぞれ4等分に切る。
3 角皿の中央に調理網1枚をのせ、2を並べる。
4 3を上段に入れる。
お料理選択 → メニュー検索 → カテゴリーから探す → 蒸し物・低温調理 → 蒸しいも・かぼちゃ → スタート
手動でするときは：蒸し物で約22分
5 加熱後、ボウルに入れて軽くつぶす。混ぜ合わせた[A]を回しかけ、[B]を加えて混ぜ、青ねぎを散らす。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R0117
じゃがいもほくほく♪ベビースタージャーマンポテト,2人分,,,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R2415.jpg,"じゃがいも: 2個(300g)
玉ねぎ: 1個(200g)
ウインナー: 6本
おやつカンパニー　ベビースターラーメン(チキン味): 約50g
マヨネーズ: 適量
オリーブオイル: 適量
塩: 少々
こしょう: 少々","1 水タンクに水を入れる。(水位1以上)
2 じゃがいもは皮つきのままたわしで洗い、7～8mm厚さに切る。玉ねぎは薄切りにする。ウインナーは斜めにスライスし、ベビースターラーメンは袋ごと軽く砕いておく。
3 角皿にクッキングシートを敷き、じゃがいもを重ならないようにのせて軽く塩こしょうする。その上に、玉ねぎとウインナーを均等にのせる。
4 3にベビースターラーメンをまんべんなく振りかけ、オリーブオイルとマヨネーズを回しかけ、角皿を上段に入れる。
まかせて調理 炒める → スタート
※加熱後、お好みでパセリを添えたり、レモンをかけてもよいでしょう。
おすすめポイント
ベビースターラーメンの食感と風味をお楽しみいただける、ちょっと和風なジャーマンポテトです。角皿にのせるだけで、ヘルシオの”まかせて調理”機能でほっこりおいしく仕上がります。

★このレシピは「うちれぴ」とのコラボレーションによる、株式会社おやつカンパニーご提供レシピです。


「うちれぴ」連携について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/healsio/AX-XA20/R2415
