メニュー名,メニュー番号,分量,カロリー,調理時間,画像URL,材料,作り方,URL
具だくさん 鶏つみれの肉団子鍋風（春雨入り）(ヘルシオデリ),,材料：3人分,約185kcal,30分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000119.jpg,"国産鶏生つみれ（9個）: 1パック
小松菜・にんじん: 1パック
春雨: 1パック
たれ: 1パック
水: 450mL","※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※小松菜・にんじんは加熱中、常温に置いておきます。
※まぜ技ユニットは不要です。
1 内鍋に生つみれ、春雨、たれ、水450mlを入れ、本体にセットする。
手動で作る → 煮物を作る(まぜない） → 5分 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。
2 加熱後、やけどに気をつけながらふたを開け、小松菜・にんじんを加え、延長で3分加熱する。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000119
具だくさんみそ汁,0032,材料：4人分,,25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4032.jpg,"好みの具(野菜、豆腐、肉など): 400g
みそ: 40g
だし汁: 600mL","1 まぜ技ユニットを本体にセットする。
2 野菜は、大根、にんじんなどの根菜やいも類は薄切りに、ごぼうはささがきにする。その他の野菜、豆腐、肉などの具は好みの大きさに切る。
3 内鍋に全材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0032(具だくさんみそ汁) → 調理を開始する → スタート
※みその香りを残したい、豆腐のすだちが気になる、わかめや葉野菜の歯ごたえを残したい場合などは、加熱後やけどに気をつけて内鍋に加え、延長で2～3分、加熱を続けます。
(延長表示が消えた場合や予約調理をした場合は、[手動で作る] → [スープを作る(まぜる)]で設定時間を約3分に合わせて加熱します。)",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4032
グラハムパン,0424,,約350kcal,1時間10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4424.jpg,"全粒粉(製パン用): 300g
砂糖: 大さじ2
塩: 小さじ2/3
ドライイースト: 小さじ1と1/2
牛乳(室温のもの): 210mL
バター: 25g","1 ボウルに全粒粉、砂糖、塩、ドライイーストを合わせてふるい入れる。牛乳を入れて軽く混ぜた後、柔らかくしたバターを混ぜ込む。生地が固いときは、牛乳小さじ1くらいを足す。内鍋の内側にバター(分量外)をぬる。
2 生地をひとまとめにし、強力粉をふった台の上でたたきつけるようにして力を入れて約10分、全体が均一に耳たぶくらいの柔らかさになるまでこねる。生地をのばしてみて指が透けて見えればちょうどよい状態。
3 きれいに丸めなおし、閉じ目をしっかり閉じる。閉じ目を下にして内鍋に入れ、ふたを閉め、1次発酵をさせる。
※生地を少し上から押して平たくすると発酵しやすくなります。
手動で作る → 発酵・低温調理をする → まぜない → 35℃ → 約35分 → 調理を開始する → スタート
※1次発酵の生地は2～2.5倍にふくれています。指に粉をつけて中央を押し、穴がそのまま残れば、ほどよく発酵しています。穴がもどるのは発酵不足。様子を見ながら、約10分発酵時間を延長してください。
4 生地を上から軽く押さえてガスを抜き、生地の端をつかんで四方から折り込む。(ガス抜き)
5 生地をスケッパーか包丁で8等分して小さく丸め、ラップをかけて約20分おき、休ませる。(ベンチタイム)内鍋の内側に多めにバター(分量外)をぬる (下記、パンのポイント参照)。
6 生地を上から軽く押さえてガスを抜き、きれいに丸めなおし、閉じ目をしっかり閉じる。 閉じ目を下にして、写真のように中央を避けて内鍋に並べる。ふたを閉め、2次発酵をさせる。
手動で作る → 発酵・低温調理をする → まぜない → 35℃ → 約35分 → スタート
※2次発酵の生地は2～2.5倍にふくれています。発酵不足の場合は様子を見ながら、約10分発酵時間を延長してください。
7 上面に強力粉(分量外)を茶こしでふり、ふたを閉め、焼き上げる。
メニューを選ぶ → メニュー番号で探す → No.0424(グラハムパン) → 調理を開始する → スタート
8 加熱後、ミトンなどを使って内鍋から取り出す。
パンのポイント
・内鍋にバターをぬるときは、生地が入る程度の高さ(底から1/3程度が目安)まで多めにぬります。
・加熱後、パンが内鍋からはずれにくい場合は、内鍋とパンの間に周囲にヘラなどを入れてすき間をつくり、そっと内側にはずすと取り出しやすくなります。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4424
グリルしたアジとトマトのカレー(ヘルシオデリ),,材料：2人分,,30分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000186.jpg,"ルウ: 1人前×2パック
アジ: 1人前×2パック","※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※まぜ技ユニットは不要です。
※アジを解凍する。(目安：流水5～6分)　全解凍の必要はありません。
1 内鍋にルウを割り入れ、アジを入れて本体にセットする。
※4人前で調理する場合：材料は4パックずつ入れてください。
手動で作る → 煮物を作る(まぜない） → 10分 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。
お召し上がりの際は、小骨に注意してください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000186
グリーンカレー,0034,材料：4人分,約302kcal,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4034.jpg,"鶏もも肉: 200g
なす: 2本(200g)
たけのこの水煮: 100g
パプリカ(赤): 1個
グリーンカレーペースト(市販品)※: 50g
ココナッツミルク: 400mL
ナンプラー: 大さじ1と 1/2
砂糖: 大さじ1と 1/2","1 まぜ技ユニットを本体にセットする。
2 鶏肉はひと口大に切る。なすは長さを半分にして縦6等分に、たけのこは薄切り、パプリカは1.5cm幅に切る。
3 内鍋に全材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0034(グリーンカレー) → 調理を開始する → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4034
鶏ちゃん焼き,0200,材料：4人分,約180kcal,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4200.jpg,"鶏もも肉: 1枚(250ｇ)
みそ: 大さじ1
しょうゆ: 大さじ1
みりん: 大さじ1
酒: 大さじ1
にんにく(すりおろす): 少々
しょうが(すりおろす): 少々
キャベツ(ざく切り): 300ｇ
ニラ(2cm幅に切る): 100ｇ
にんじん(短冊切り): 1/2本","1 まぜ技ユニットを本体にセットする。
2 鶏肉を小さめのひと口大に切る。ビニール袋に［A］と鶏肉を入れてよくもみ込み、袋の口を結んで、冷蔵室で約1時間漬けこむ。
3 内鍋に、野菜を入れ、その上に鶏肉を漬け汁とともに入れる。本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0200(鶏ちゃん焼き) → 調理を開始する → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4200
ケララ風チキンカレー,,材料：4人分,約324kcal,40分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R100000000042.jpg,"鶏もも肉(皮を取ってひと口大に切る): 300g
おろしにんにく: 8g
おろししょうが: 8g
コリアンダーパウダー: 6g
クミンパウダー: 2g
ターメリックパウダー: 2g
カイエンペッパーパウダー: 2g
ガラムマサラパウダー: 4g
塩: 8g
水: 30mL
サラダ油: 30g
玉ねぎ(ざく切り): 100g
じゃがいも(大きめのひと口大に切る): 150g
トマト(ざく切り): 80g
シナモンスティック: 1本
ココナッツミルク: 160g
パクチー(刻んでおく): お好みで","※ホットクックを機器登録し、メニューをダウンロードして加熱します。
[ホットクックに送信]を押すと、3の調理情報がダウンロードされます。
1 [A]を合わせて冷蔵室で1時間～1晩漬けこんでおく。
2 まぜ技ユニットを本体にセットする。
3 内鍋に1とココナッツミルク、パクチー以外の材料を入れ、本体にセットする。
ダウンロードメニュー → ケララ風チキンカレー → 調理を開始する → スタート
4 途中、報知音が鳴れば、ふたを開け、やけどに気をつけて内鍋にココナッツミルクを加える。
※残り時間が5分のとき、報知音が鳴り、「食材を加えてください」の表示が出ます。
※ふたを開ける際は、とりけしキーは押さないでください。
ふたを閉めてスタートする。
5 加熱後、器に盛り、お好みで刻んだパクチーをトッピングする。
※写真のように、ごはんに盛り、お好みのトッピングをしてもよいでしょう。

★このレシピは、稲田俊輔氏考案レシピです。
稲田俊輔氏：南インド料理専門店エリックサウス総料理長
ｉｎａｄａ’ｓコメント
インド最南端のケララ州で、レストランではなく一般家庭の主婦の方に習ったレシピが元になっています。
チキンと野菜の旨味を引き出して凝縮させ、ココナッツミルクのコクで仕上げる、素朴ですが洗練された味わい。
しっかりスパイシーですが、同時にそれを包みこむまろやかさもある、南インドならではの定番カレーです。
しっかり本格感のある南インドカレー。
ルウやあめ玉を使わなくても、じゃがいもとココナッツミルクで自然なとろみがつきます。
そのため、じゃがいもは少し煮崩れた方がおいしいです。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R100000000042
けんちん汁,0035,材料：4人分,,25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4035.jpg,"好みの具(野菜、こんにゃくなど): 400g
豆腐: 150g
酒: 大さじ1
ごま油: 大さじ1/2
しょうゆ: 小さじ1
塩: 小さじ1/2
だし汁: 600mL","1 まぜ技ユニットを本体にセットする。
2 野菜は、大根、にんじんなどの根菜やいも類は薄切りに、ごぼうはささがきにする。豆腐は粗くくずす。
3 内鍋に全材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0035(けんちん汁) → 調理を開始する → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4035
玄米ごはん,0342,,約248kcal(150g),1時間20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4342.jpg,"玄米: 1合(150g)
水: 290mL
玄米: 2合(300g)
水: 460mL
玄米: 3合(450g)
水: 680mL","1 玄米は、流水でさっと洗い、ボウルに入れて浮かんできたもみ殻やホコリを取り除く。その後、ザルでしっかりこするようにもみ洗いする。これを4～5回繰り返し、最後に流水ですすぎ、ザルで水気をしっかりきっておく。
2 内鍋に1を入れて平らにならし、分量の水を入れる。
3 本体に内鍋をセットする。
メニューを選ぶ → メニュー番号で探す → No.0342(玄米ごはん) → 分量を選択 → スタート
4 加熱後、全体をよくほぐす。
※分量によっては、調理中蒸気口からおねばが出ることがあります。
※保温キーは使わないでください。
※予約調理のときも、自動で保温には切り換わりません。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4342
コク旨海鮮塩焼きそば（せいろ蒸し麺使用）(ヘルシオデリ),,材料：3人分,約312kcal,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000137.jpg,"せいろ蒸し麺: 3玉
野菜(小松菜・にんじん): 1パック
えび・いか・あずまにしき貝: 1パック
塩だれ: 1パック","※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※塩だれを容器から出るやわらかさになるまで解凍する。（目安：水をはったボウルに3分）全解凍の必要はありません。
1 まぜ技ユニットを本体にセットする。
2 内鍋に野菜、えび・いか・あずまにしき貝、せいろ蒸し麺、塩だれの順に入れ、本体にセットする。
手動で作る → 炒める → 約2分 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000137
国産かぼちゃのシチュー(ヘルシオデリ),,材料：1人分,約262kcal,30分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000148.jpg,"シチュー（具材入り）: 1人前1パック
水: 200mL（1人前）、400mL（2人前）、600mL（3人前）","※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
1 まぜ技ユニットを本体にセットする。
2 1人前を調理する場合：内鍋にシチュー（具材入り）1パックと水200mLを入れ、本体にセットする。
2人前を調理する場合：内鍋にシチュー（具材入り）2パックと水400mLを入れ、本体にセットする。
3人前を調理する場合：内鍋にシチュー（具材入り）3パックと水600mLを入れ、本体にセットする。
手動で作る → 煮物を作る(まぜる） → 8分 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000148
ココナッツ香るシュリンプカレー(ヘルシオデリ),,材料：2人分,,30分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000170.jpg,"ルウ: 1人前×2パック
えび: 1人前×2パック","※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
※えびは加熱中、常温に置いておきます。
1 まぜ技ユニットを本体にセットする。
2 内鍋にルウを割り入れ、本体にセットする。
※4人前で調理する場合：材料は4パックずつ入れてください。
手動で作る → 煮物を作る(まぜる） → 7分 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。
3 加熱後、やけどに気をつけながらふたを開け、えびを1個ずつほぐしながら加え、5分延長加熱する。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000170
こだわりスパイスの定番チキンカレー(ヘルシオデリ),,材料：2人分,,30分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R101000000171.jpg,"ルウ: 1人前×2パック
鶏肉: 1人前×2パック","※このメニューは料理キット宅配サービス「ヘルシオデリ」のメニューです。
1 まぜ技ユニットを本体にセットする。
2 内鍋にルウを割り入れ、鶏肉を入れて本体にセットする。
※4人前で調理する場合：材料は4パックずつ入れてください。
手動で作る → 煮物を作る(まぜる） → 10分 → 調理を開始する → スタート
※ホットクックを機器登録している場合は、メニューをダウンロードできます。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R101000000171
子どもも喜ぶ！洋風麻婆豆腐,0751,材料：2人分,,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4751.jpg,"しいたけ(みじん切り): 3個
白ねぎ(みじん切り): 1/2本
マ･マー トマトの果肉たっぷりのミートソース(2人前): 1袋(260g)
しょうゆ: 小さじ1
オイスターソース: 小さじ1と1/2
コチュジャン: 小さじ1
もめん豆腐(2～3cmの角切り): 1丁(300g)
水: 大さじ1
片栗粉: 大さじ1
ラー油: お好みで
山椒: お好みで","1 内鍋にしいたけと白ねぎ、[A]を入れ混ぜ合わせ、もめん豆腐を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.751 (子どもも喜ぶ！洋風麻婆豆腐) → 調理を開始する → スタート
2 加熱後、ふたを開け、やけどに気をつけながら内鍋に、水溶き片栗粉をまわし入れ、豆腐がくずれないよう混ぜ合わせ、延長で1分加熱する。
3 延長加熱後、盛り付けたら、お好みでラー油、山椒をかける。

★このレシピは「うちれぴ」とのコラボレーションによる、株式会社日清製粉ウェルナご提供レシピです。
日清製粉ウェルナからのおすすめポイント
「マ･マー トマトの果肉たっぷりのミートソース」を使った、お手軽なのに本格的な麻婆豆腐です。
パスタソースの旨みとコクが驚くほど麻婆豆腐にマッチし、仕上げのラー油と山椒で本場四川風に。
コチュジャンで辛さを調整できるので、子どもから大人まで大満足の一品です！

「マ･マー トマトの果肉たっぷりのミートソース」について、詳しくは画像をタップしてください。


「うちれぴ」連携について、詳しくは画像をタップしてください。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4751
小松菜と桜えびのサッと煮,0325,材料：4人分,約60kcal,15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4325.jpg,"小松菜: 200g
油揚げ(熱湯で油抜きする): 1枚
桜えび: 15ｇ
しょうゆ: 大さじ1
酒: 大さじ2
砂糖: 小さじ2","1 まぜ技ユニットを本体にセットする。
2 小松菜は3cm長さに切り、油揚げは5cm長さの短冊切りにする。
3 内鍋に全材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0325(小松菜と桜えびのさっと煮) → 調理を開始する → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4325
小松菜とちりめんじゃこのあえ物,0382,材料：4人分,約25kcal,10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4382.jpg,"小松菜(3cm幅に切る): 200g
ちりめんじゃこ: 30g
酒: 小さじ2
七味とうがらし: 適量","1 まぜ技ユニットを本体にセットする。
2 内鍋に、七味とうがらし以外の全材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0382(小松菜とちりめんじゃこのあえ物) → 調理を開始する → スタート
3 加熱後、混ぜ合わせ、お好みで七味とうがらしをふりかける。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4382
小松菜とツナの煮物,0037,,約53kcal(全量),15分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4037.jpg,"小松菜(2cm幅に切る): 200g
ツナ(缶詰): 1/2缶(35g)
しょうゆ: 小さじ1","1 まぜ技ユニットを本体にセットする
2 内鍋に全材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0037(小松菜とツナの煮物) → 調理を開始する → スタート
3 加熱後、混ぜ合わせて味をなじませる。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4037
小麦パン,0111,,約240kcal(1/6切れ),1時間10分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4111.jpg,"強力粉: 300g
砂糖: 大さじ2
塩: 小さじ2/3
ドライイースト: 小さじ1と1/2(4.5g)
牛乳(室温のもの): 210mL
バター: 25g","1 ボウルに強力粉、砂糖、塩、ドライイーストを合わせてふるい入れる。牛乳を入れて軽く混ぜた後、柔らかくしたバターを混ぜこむ。生地が固いときは、牛乳小さじ1くらいを足す。内鍋の内側にバター(分量外)をぬる。
2 生地をひとまとめにし、強力粉をふった台の上でたたきつけるようにして力を入れて約10分、全体が均一に耳たぶくらいの柔らかさになるまでこねる。生地をのばしてみて指が透けて見えればちょうどよい状態。
3 きれいに丸めなおし、閉じ目をしっかり閉じる。閉じ目を下にして内鍋に入れ、ふたを閉め、1次発酵をさせる。
※生地を少し上から押して平たくすると発酵しやすくなります。
手動で作る → 発酵・低温調理をする → まぜない → 35℃ → 約35分 → スタート
※1次発酵の生地は2～2.5倍にふくれています。指に粉をつけて中央を押し、穴がそのまま残れば、ほどよく発酵しています。穴がもどるのは発酵不足。様子を見ながら、約10分発酵時間を延長してください。
4 生地を上から軽く押さえてガスを抜き、生地の端をつかんで四方から折り込む。(ガス抜き)
5 生地をスケッパーか包丁で6等分して小さく丸め、ラップをかけて約20分おき、休ませる。(ベンチタイム)
内鍋の内側に多めにバター(分量外)をぬる。 (下記パンのポイント参照)
6 生地を上から軽く押さえてガスを抜き、きれいに丸めなおし、閉じ目をしっかり閉じる。 閉じ目を下にして、写真のように中央を避けて内鍋に並べる。ふたを閉め、2次発酵をさせる。

手動で作る → 発酵・低温調理をする → まぜない → 35℃ → 約35分 → スタート
※2次発酵の生地は2～2.5倍にふくれています。発酵不足の場合は様子を見ながら、約10分発酵時間を延長してください。
7 上面に強力粉(分量外)を茶こしでふり、ふたを閉め、焼き上げる。
メニューを選ぶ → メニュー番号で探す → No.0111(小麦パン) → 調理を開始する → スタート
8 加熱後、内鍋から取り出す。
※上面にも焼色をつけたい時は、パンを裏返し、延長で15分程焼いてもよいでしょう。パンを裏返す時は、ミトンなどを使用し、やけどに気をつけてください。
※延長表示が消えた場合は、
手動で作る → ケーキを焼く → 約15分
パンのポイント
・内鍋にバターをぬるときは、生地が入る程度の高さ(底から1/3程度が目安)まで多めにぬります。
・加熱後、パンが内鍋からはずれにくい場合は、内鍋とパンの間に周囲にヘラなどを入れてすき間をつくり、そっと内側にはずすと取り出しやすくなります。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4111
これうま！コクうまブイヤベース,0321,材料：4人分,約281kcal,1時間,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4321.jpg,"玉ねぎ(薄切り): 2個(400g)
にんにく(みじん切り): 1かけ
ホールトマト缶: 1缶(400g)
生たら(半分に切る): 6切れ(480g)
あさり: 200g
ヤマサ ぱぱっとちゃんとこれ!うま!!つゆ: 大さじ3(45g)
酒: 200mL
水: 200mL
オリーブオイル: 大さじ2
パセリ(乾燥): 適量","1 ホールトマト缶の実を軽くつぶし、内鍋に[A]を入れる。
2 残りの材料を内鍋に加え、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0321(これうま！コクうまブイヤベース) → 調理を開始する → スタート
3 加熱後、器に盛りつけ、パセリをふる。
★このレシピは、ヤマサ醤油株式会社「ぱぱっとちゃんとこれ!うま!!つゆ」とのコラボメニューです。

めんつゆとも、白だしとも違う、だしのうま味・甘みのきいた、これまでにない濃縮つゆ。
”ホットくおいしさ”のホットクックを使えば、「ヤマサ ぱぱっとちゃんとこれ!うま!!つゆ」と
食材を入れるだけで、老若男女、料理初心者も上級者までおいしく仕上がります。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4321
これうま！とろとろロールキャベツ,0320,材料：4人分,約196kcal,1時間5分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4320.jpg,"キャベツ(ゆでたもの・固い芯はそぎ落とす): 8枚(400g)
パン粉: 15g
牛乳: 大さじ2
合びき肉: 200g
塩: 小さじ1/2
玉ねぎ(みじん切り): 1/2個(100g)
溶き卵: M1/2個
こしょう: 少々
ヤマサ ぱぱっとちゃんとこれ!うま!!つゆ: 大さじ2(30g)
水: 500mL
パセリ(乾燥): 適量","1 パン粉は牛乳で湿らせておく。
2 ボールに合びき肉と塩を入れてしっかり練り、1、[A]を加えて混ぜる。
3 2の生地を8等分し、俵型にする。キャベツの芯を手前にして広げ、生地を包み、巻き終わりを下にして内鍋に並べる。
4 3に[B]を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0320(これうま！とろとろロールキャベツ) → 調理を開始する → スタート
5 加熱後、器に盛りつけ、パセリをふる。
★このレシピは、ヤマサ醤油株式会社「ぱぱっとちゃんとこれ!うま!!つゆ」とのコラボメニューです。

めんつゆとも、白だしとも違う、だしのうま味・甘みのきいた、これまでにない濃縮つゆ。
”ホットくおいしさ”のホットクックを使えば、「ヤマサ ぱぱっとちゃんとこれ!うま!!つゆ」と
食材を入れるだけで、老若男女、料理初心者も上級者までおいしく仕上がります。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4320
これうま！ワンポットツナパスタ,0322,材料：2人分,約522kcal,28分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4322.jpg,"スパゲティ(7分ゆで・太さ1.6mmのもの): 200ｇ
オリーブオイル: 大さじ1と1/2
ツナ(缶詰): 1缶(70g)
しめじ: 150g
にんにく(みじん切り): 1/2片
赤とうがらし(小口切り): 1本
水: 350mL
ヤマサ ぱぱっとちゃんとこれ!うま!!つゆ: 大さじ2
しょうゆ(仕上げ用): 小さじ1/2
細ねぎ(小口切り): 適量","1 まぜ技ユニットを本体にセットする。
2 しめじは小房に分ける。
3 内鍋にスパゲティを半分に折って入れ、オリーブオイルを加えて全体にからめる。
4 ツナ缶(汁ごと)、2、[A]を加えて、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0322(これうま！ワンポットツナパスタ) → 調理を開始する → スタート
5 加熱後、延長で3分加熱を続ける。
6 出来上がったら、鍋ふちに沿ってしょうゆを加え、全体にまぜる。
器に盛りつけ、細ねぎを散らす。
★このレシピは、ヤマサ醤油株式会社「ぱぱっとちゃんとこれ!うま!!つゆ」とのコラボメニューです。

めんつゆとも、白だしとも違う、だしのうま味・甘みのきいた、これまでにない濃縮つゆ。
”ホットくおいしさ”のホットクックを使えば、「ヤマサ ぱぱっとちゃんとこれ!うま!!つゆ」と
食材を入れるだけで、老若男女、料理初心者も上級者までおいしく仕上がります。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4322
根菜サラダ,0381,材料：4人分,約56kcal,25分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4381.jpg,"かぼちゃ(7mm厚さの薄切り): 120g
にんじん(5mm厚さの薄切り): 100g
大根(5mm厚さの薄切り): 100g
ごぼう(5mm厚さの薄切り): 80g
れんこん(5mm厚さの薄切り): 80g
好みのドレッシング: 適量","1 ごぼう、れんこんは水にさらしてアクを抜く。
2 内鍋に1、残りの野菜を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0381(根菜サラダ) → 調理を開始する → スタート
3 加熱後、好みのドレッシングをかける。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4381
こんにゃくの甘辛煮,0039,材料：4人分,約61kcal,35分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4039.jpg,"こんにゃく: 1枚
みりん: 大さじ3
酒: 大さじ2
しょうゆ: 大さじ1
砂糖: 大さじ1/2
ごま油: 小さじ1","1 まぜ技ユニットを本体にセットする。
2 こんにゃくを約5mm厚さに切り、塩(分量外)をふって軽くもみ、湯通しする。中心に切り目を入れて、端をくぐらせ、手綱こんにゃくにする。
3 内鍋に2と[A]を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0039(こんにゃくの甘辛煮) → 調理を開始する → スタート
※もう少し煮詰めたいときは、[手動で作る] → [煮詰める]を使って煮詰めることができます。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4039
昆布豆,0040,材料：4人分,約388kcal,3時間,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4040.jpg,"大豆(乾燥): 280g
水: 800mL
砂糖: 70g
しょうゆ: 大さじ3
みりん: 大さじ2
塩: 少々
だし昆布: 10cm角","1 大豆は[A]に一晩つけておく。
2 内鍋に1を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0040(昆布豆) → 調理を開始する → スタート
3 昆布は、ぬらしたふきんでサッとふいて1cm角に切る。
4 加熱途中、報知音が鳴れば、ふたを開け、やけどに気をつけて内鍋に昆布を加える。
※残り時間が約1時間のとき、報知音が鳴り、「食材を加えてください」の表示が出ます。
※ふたを開ける際は、とりけしキーは押さないでください。
ふたを閉めてスタートする。
5 加熱後、冷まし、味を含ませる。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4040
コーンシチュー(離乳食),0455,,,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4455.jpg,"スイートコーン(缶詰・クリーム): 180g
野菜(ブロッコリー、にんじんなど): 60g
牛乳: 200mL
片栗粉: 小さじ2
水: 大さじ1","1 まぜ技ユニットを本体にセットする。
2 内鍋に裏ごししたスイートコーンと細かく切った野菜、牛乳を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0455(コーンシチュー(離乳食)) → 調理を開始する → スタート
3 加熱後、分量の水で溶いた水溶き片栗粉を加え、3分延長する。
■離乳食レシピについて
・作りやすい分量で記載しています。お子様の成長に合わせた量を与えてください。
・食べやすい温度や形状になっているかを確認し、食べさせてあげましょう。",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4455
コーンスープ,0036,材料：4人分,約178kcal,20分,https://cocoroplus.jp.sharp/kitchen/recipe/photo_large/R4036.jpg,"スイートコーン(缶詰・クリーム): 190g
玉ねぎ(みじん切り): 1/2個(100g)
牛乳: 400mL
バター: 30g
コンソメ(顆粒): 小さじ2
塩、こしょう: 各少々","1 まぜ技ユニットを本体にセットする。
2 内鍋に全材料を入れ、本体にセットする。
メニューを選ぶ → メニュー番号で探す → No.0036(コーンスープ) → 調理を開始する → スタート",https://cocoroplus.jp.sharp/kitchen/recipe/hotcook/KN-HW24H/R4036
